area_sqft,bedrooms,bathrooms,location,house_type,state,city,price
1806,2,2,Urban,Apartment,Madhya Pradesh,Bhopal,3864172
641,2,2,Urban,Villa,Gujarat,Ahmedabad,3232295
2688,4,4,Urban,Apartment,Haryana,Gurgaon,12454658
3081,3,2,Urban,Apartment,Manipur,Imphal,5060683
468,1,2,Urban,Villa,West Bengal,Durgapur,2558795
596,1,1,Semi-Urban,Apartment,Odisha,Cuttack,2078248
348,1,1,Urban,Apartment,Maharashtra,Mumbai,11282342
521,1,1,Urban,Duplex,Assam,Guwahati,2481901
403,1,2,Urban,Apartment,Delhi,Karol Bagh,1770572
792,1,1,Urban,Apartment,Karnataka,Hubli,1381941
2250,4,1,Urban,Apartment,West Bengal,Siliguri,9628824
593,1,2,Urban,Apartment,Tamil Nadu,Chennai,4952713
480,1,2,Semi-Urban,Apartment,Telangana,Hyderabad,3825590
444,1,1,Urban,Apartment,Uttarakhand,Haldwani,1648357
395,1,2,Urban,Villa,Uttar Pradesh,Ghaziabad,1714003
433,1,1,Urban,Apartment,Jharkhand,Dhanbad,1938320
1707,3,3,Urban,Apartment,Sikkim,Gangtok,6237318
2118,5,4,Urban,Villa,Delhi,Rohini,5683194
1145,2,1,Urban,Duplex,Andhra Pradesh,Vijayawada,4104834
473,1,2,Semi-Urban,Apartment,Assam,Guwahati,1572393
1125,1,1,Urban,Apartment,West Bengal,Kolkata,7487587
1527,3,1,Urban,Apartment,Madhya Pradesh,Jabalpur,7072492
552,1,2,Urban,Apartment,Chhattisgarh,Bilaspur,2562713
594,1,1,Urban,Apartment,Tamil Nadu,Chennai,4652310
566,1,2,Urban,Apartment,Haryana,Panipat,1925749
418,1,1,Urban,Villa,Delhi,Saket,1208086
1664,3,2,Urban,Apartment,Madhya Pradesh,Bhopal,3443179
653,1,1,Semi-Urban,Apartment,Uttar Pradesh,Noida,1197059
664,1,1,Urban,Apartment,Haryana,Gurgaon,3382840
1155,2,2,Urban,Villa,Gujarat,Ahmedabad,5102483
552,1,1,Urban,Apartment,Maharashtra,Pune,1266648
870,1,1,Semi-Urban,Apartment,Karnataka,Mangalore,2702166
1720,3,4,Urban,Apartment,Rajasthan,Kota,3091540
841,1,1,Urban,Apartment,Goa,Margao,1640395
371,1,1,Semi-Urban,Villa,Punjab,Ludhiana,1454069
454,1,1,Urban,Apartment,Delhi,Rohini,851133
628,1,2,Urban,Apartment,Jharkhand,Dhanbad,2586004
1127,2,3,Urban,Apartment,West Bengal,Asansol,4733638
709,2,2,Urban,Apartment,Madhya Pradesh,Bhopal,1644889
2329,3,4,Urban,Apartment,Rajasthan,Udaipur,9911252
389,1,1,Urban,Apartment,West Bengal,Asansol,973332
1413,3,4,Urban,Apartment,Kerala,Kozhikode,7681357
772,1,1,Urban,Apartment,Rajasthan,Jodhpur,3089516
782,1,2,Semi-Urban,Apartment,Rajasthan,Udaipur,2053369
639,1,2,Urban,Apartment,Rajasthan,Jaipur,2502587
588,1,2,Urban,Apartment,Gujarat,Bhavnagar,2364645
765,1,1,Urban,Apartment,Maharashtra,Thane,1956779
546,1,1,Urban,Apartment,Maharashtra,Aurangabad,2459212
1277,3,2,Urban,Apartment,Gujarat,Bhavnagar,4374494
724,2,3,Urban,Villa,Haryana,Karnal,1823255
952,1,1,Urban,Apartment,Uttarakhand,Haldwani,4018895
522,1,2,Urban,Apartment,Madhya Pradesh,Bhopal,1085863
1119,1,1,Urban,Apartment,Odisha,Bhubaneswar,4459750
2154,5,3,Urban,Apartment,Goa,Panaji,4499584
803,1,1,Semi-Urban,Apartment,Chhattisgarh,Bilaspur,2529696
753,2,3,Urban,Villa,Jammu & Kashmir,Jammu,1518909
653,2,1,Semi-Urban,Apartment,Gujarat,Vadodara,2468484
338,1,1,Urban,Apartment,Maharashtra,Kolhapur,1579811
1305,2,1,Urban,Apartment,Madhya Pradesh,Indore,2934636
312,1,1,Urban,Apartment,Uttarakhand,Dehradun,1441298
400,1,1,Urban,Duplex,Jharkhand,Dhanbad,1554925
821,2,3,Urban,Apartment,Jharkhand,Ranchi,1730864
1548,3,2,Urban,Apartment,Maharashtra,Kalyan,3226245
610,2,1,Semi-Urban,Apartment,West Bengal,Durgapur,1910960
962,1,2,Urban,Apartment,Maharashtra,Pune,1825172
357,1,2,Semi-Urban,Apartment,Karnataka,Bengaluru,3541062
598,1,2,Semi-Urban,Apartment,Assam,Dibrugarh,1937274
1437,3,3,Semi-Urban,Duplex,Karnataka,Mangalore,6322775
310,1,1,Semi-Urban,Villa,Telangana,Warangal,1433564
775,2,1,Urban,Villa,Puducherry,Puducherry,3539144
1239,3,4,Urban,Apartment,Goa,Panaji,2359031
474,1,2,Urban,Apartment,Himachal Pradesh,Shimla,932614
534,1,1,Urban,Apartment,Goa,Margao,1110964
1658,2,3,Urban,Villa,Telangana,Nizamabad,11645862
1109,1,1,Semi-Urban,Apartment,Uttar Pradesh,Kanpur,4094832
946,2,2,Semi-Urban,Apartment,Lakshadweep,Kavaratti,2529591
300,1,1,Urban,Apartment,Kerala,Kollam,1242650
2889,4,2,Semi-Urban,Apartment,Rajasthan,Udaipur,10179127
566,1,1,Urban,Apartment,Delhi,Karol Bagh,2140648
498,1,2,Urban,Apartment,Bihar,Muzaffarpur,2004487
785,1,2,Urban,Apartment,Madhya Pradesh,Indore,1937595
414,1,2,Urban,Apartment,Delhi,New Delhi,5587966
337,1,1,Urban,Apartment,Assam,Dibrugarh,1476332
477,1,1,Urban,Apartment,Madhya Pradesh,Bhopal,1223872
948,1,2,Urban,Apartment,Telangana,Nizamabad,3588506
500,1,1,Urban,Apartment,Uttar Pradesh,Agra,1258245
935,2,1,Urban,Apartment,Uttar Pradesh,Noida,1595000
892,2,2,Urban,Apartment,Punjab,Jalandhar,3007260
328,1,2,Urban,Apartment,Delhi,Karol Bagh,1450709
1028,1,1,Urban,Villa,Karnataka,Mangalore,6610116
1301,3,1,Urban,Apartment,Maharashtra,Kalyan,2326783
770,2,1,Urban,Apartment,Tamil Nadu,Madurai,4182364
1408,3,1,Urban,Apartment,Karnataka,Mangalore,7480031
2330,4,4,Urban,Apartment,Tamil Nadu,Coimbatore,9844437
2847,4,3,Urban,Villa,Karnataka,Dharwad,13784819
908,2,1,Urban,Apartment,West Bengal,Durgapur,3134603
1933,3,4,Urban,Apartment,Delhi,Karol Bagh,8786182
1720,2,2,Urban,Apartment,Puducherry,Puducherry,7464289
596,1,1,Urban,Apartment,Assam,Guwahati,2436887
780,2,2,Urban,Apartment,Delhi,Delhi,9333823
314,1,2,Urban,Apartment,Haryana,Karnal,574717
303,1,1,Semi-Urban,Apartment,Delhi,New Delhi,2873116
838,2,3,Urban,Apartment,Bihar,Muzaffarpur,3114900
899,2,1,Semi-Urban,Apartment,Maharashtra,Nagpur,2956576
1237,3,3,Urban,Apartment,Uttar Pradesh,Noida,2626905
368,1,2,Urban,Apartment,Odisha,Rourkela,1370785
738,2,2,Urban,Apartment,Tamil Nadu,Madurai,3019023
896,1,2,Urban,Apartment,Nagaland,Kohima,2599758
502,1,1,Semi-Urban,Duplex,Odisha,Rourkela,2244292
329,1,2,Urban,Apartment,Kerala,Thiruvananthapuram,1318837
1382,2,3,Semi-Urban,Apartment,Lakshadweep,Kavaratti,5154334
1175,2,2,Semi-Urban,Duplex,Madhya Pradesh,Indore,2011488
617,2,1,Semi-Urban,Duplex,Delhi,New Delhi,8773226
1036,1,2,Urban,Villa,Rajasthan,Jodhpur,4943286
349,1,1,Urban,Apartment,Manipur,Imphal,782430
430,1,2,Urban,Apartment,Kerala,Kozhikode,1594099
1188,1,1,Urban,Apartment,Jharkhand,Ranchi,2580354
466,1,2,Urban,Apartment,Punjab,Chandigarh,2019695
1956,3,1,Urban,Apartment,Haryana,Gurgaon,7422388
394,1,2,Semi-Urban,Duplex,Himachal Pradesh,Shimla,732354
1148,2,2,Urban,Apartment,Uttar Pradesh,Kanpur,5184999
520,1,1,Urban,Apartment,Maharashtra,Thane,1189192
908,2,2,Urban,Duplex,Meghalaya,Shillong,4241561
494,1,1,Urban,Villa,Punjab,Amritsar,2616865
651,2,1,Urban,Duplex,Jharkhand,Jamshedpur,2484946
1089,1,2,Urban,Apartment,Uttar Pradesh,Lucknow,4994300
345,1,1,Urban,Apartment,Maharashtra,Thane,781050
1769,2,1,Urban,Apartment,Punjab,Ludhiana,5971548
308,1,1,Urban,Villa,Odisha,Cuttack,1226376
1122,2,2,Urban,Villa,Karnataka,Mysuru,3293387
696,2,1,Urban,Duplex,Odisha,Rourkela,2802036
1137,2,1,Semi-Urban,Apartment,Chhattisgarh,Bilaspur,4196095
646,1,2,Urban,Apartment,Delhi,Dwarka,1290591
347,1,1,Urban,Apartment,Tripura,Agartala,1643478
893,1,2,Semi-Urban,Apartment,Assam,Dibrugarh,2783388
850,1,1,Urban,Apartment,Maharashtra,Pune,1659434
345,1,1,Urban,Apartment,Tamil Nadu,Chennai,3112316
960,2,3,Urban,Apartment,Haryana,Panipat,3698665
528,1,1,Urban,Apartment,West Bengal,Asansol,2537055
557,1,2,Semi-Urban,Apartment,Uttarakhand,Haldwani,1611172
595,1,2,Urban,Villa,Rajasthan,Jaipur,2942193
1128,1,2,Urban,Apartment,Maharashtra,Kolhapur,5030552
3013,5,2,Urban,Apartment,Delhi,New Delhi,64730406
814,2,2,Urban,Apartment,Uttar Pradesh,Lucknow,3300878
374,1,1,Urban,Apartment,Delhi,Rohini,946570
446,1,1,Urban,Apartment,Assam,Guwahati,1481976
1427,3,4,Urban,Villa,Tamil Nadu,Chennai,15702715
976,1,1,Urban,Apartment,Jharkhand,Jamshedpur,4881199
832,2,2,Urban,Apartment,Assam,Dibrugarh,2489515
324,1,2,Urban,Apartment,Delhi,Delhi,4481309
389,1,1,Semi-Urban,Apartment,Bihar,Bhagalpur,1235896
662,2,3,Urban,Apartment,Odisha,Cuttack,2668952
397,1,2,Urban,Apartment,Punjab,Ludhiana,1651228
1153,2,1,Urban,Apartment,Himachal Pradesh,Shimla,2392623
371,1,1,Urban,Apartment,Maharashtra,Kolhapur,1373755
659,1,1,Urban,Apartment,Jharkhand,Jamshedpur,2460651
1882,3,1,Urban,Apartment,Himachal Pradesh,Shimla,3183848
670,2,1,Urban,Apartment,Kerala,Kollam,2089519
651,1,1,Urban,Apartment,Delhi,Saket,1407579
349,1,2,Urban,Apartment,Jammu & Kashmir,Srinagar,1240623
383,1,2,Urban,Apartment,Arunachal Pradesh,Itanagar,1687501
775,2,1,Urban,Duplex,Tamil Nadu,Coimbatore,3797122
4193,4,3,Urban,Villa,Punjab,Chandigarh,20229732
1325,2,2,Urban,Apartment,Jharkhand,Dhanbad,5070001
601,2,3,Urban,Apartment,Delhi,Karol Bagh,2504363
377,1,2,Urban,Villa,Chhattisgarh,Bhilai,2042074
650,1,1,Urban,Apartment,Maharashtra,Mumbai,16994834
613,1,1,Semi-Urban,Villa,Goa,Panaji,1104130
5000,4,1,Urban,Apartment,Haryana,Karnal,11206171
513,1,1,Urban,Villa,Kerala,Kozhikode,2730879
526,1,1,Urban,Apartment,Karnataka,Mysuru,1295953
945,1,1,Semi-Urban,Apartment,Delhi,Delhi,15735777
1753,3,1,Urban,Apartment,Jharkhand,Dhanbad,6996966
901,2,1,Urban,Apartment,Punjab,Ludhiana,3882788
1719,3,1,Urban,Villa,Delhi,Saket,4423346
576,1,2,Urban,Apartment,Madhya Pradesh,Gwalior,2606654
676,1,1,Urban,Apartment,Puducherry,Puducherry,2898726
304,1,2,Urban,Duplex,Delhi,Karol Bagh,924877
332,1,2,Urban,Apartment,Telangana,Warangal,1538875
1234,2,3,Urban,Apartment,Maharashtra,Aurangabad,4726254
339,1,2,Urban,Apartment,Delhi,Karol Bagh,939702
1015,1,2,Urban,Apartment,Tamil Nadu,Madurai,4522327
928,1,1,Urban,Villa,Maharashtra,Nagpur,4708051
831,2,3,Semi-Urban,Apartment,Delhi,Delhi,10558286
775,1,1,Urban,Apartment,Madhya Pradesh,Gwalior,2619733
884,2,3,Semi-Urban,Apartment,Kerala,Thiruvananthapuram,2691600
352,1,2,Urban,Villa,Uttar Pradesh,Kanpur,1865592
899,1,1,Urban,Duplex,Uttar Pradesh,Lucknow,3821120
1199,2,1,Urban,Apartment,Madhya Pradesh,Gwalior,5512233
1642,2,3,Urban,Apartment,Jammu & Kashmir,Srinagar,7252289
2824,4,4,Urban,Duplex,Meghalaya,Shillong,11879642
410,1,1,Urban,Villa,Odisha,Bhubaneswar,2065733
1282,3,1,Urban,Apartment,Madhya Pradesh,Indore,2070708
2218,3,4,Urban,Apartment,Maharashtra,Nagpur,8373286
364,1,1,Urban,Apartment,Maharashtra,Mumbai,8834558
702,2,2,Urban,Apartment,Bihar,Muzaffarpur,2566521
435,1,1,Urban,Apartment,Maharashtra,Aurangabad,1435864
430,1,1,Semi-Urban,Duplex,Karnataka,Bengaluru,2833096
399,1,1,Urban,Apartment,Lakshadweep,Kavaratti,1455830
1278,3,3,Semi-Urban,Apartment,Madhya Pradesh,Jabalpur,4962311
1661,2,1,Urban,Apartment,Manipur,Imphal,2994523
951,2,1,Semi-Urban,Apartment,Telangana,Nizamabad,2704562
936,1,2,Urban,Apartment,Meghalaya,Shillong,3497073
1148,1,2,Urban,Apartment,Puducherry,Puducherry,4614645
390,1,2,Semi-Urban,Apartment,Madhya Pradesh,Jabalpur,1035618
2679,4,4,Semi-Urban,Duplex,Chhattisgarh,Bilaspur,6796803
2091,3,2,Urban,Apartment,Karnataka,Hubli,4084303
655,2,3,Urban,Duplex,Uttar Pradesh,Noida,1404902
2617,4,4,Urban,Duplex,Karnataka,Dharwad,13002815
1206,3,2,Urban,Apartment,Tamil Nadu,Tiruchirappalli,4832766
477,1,1,Urban,Duplex,Madhya Pradesh,Bhopal,910892
2382,5,3,Urban,Apartment,Bihar,Bhagalpur,11785446
486,1,2,Urban,Apartment,Odisha,Rourkela,2022363
866,2,2,Semi-Urban,Apartment,Lakshadweep,Kavaratti,3112504
1678,2,1,Semi-Urban,Apartment,Puducherry,Puducherry,7384849
1976,2,1,Urban,Duplex,Tripura,Agartala,8173240
802,2,2,Urban,Villa,Uttar Pradesh,Agra,2231159
3127,5,2,Urban,Apartment,Haryana,Gurgaon,13535620
793,2,3,Urban,Apartment,Punjab,Ludhiana,2983828
417,1,2,Urban,Apartment,Uttar Pradesh,Agra,786176
1074,2,2,Semi-Urban,Apartment,Himachal Pradesh,Shimla,1566556
1136,1,2,Semi-Urban,Apartment,Delhi,New Delhi,12688738
1285,2,1,Semi-Urban,Apartment,Gujarat,Surat,1711636
1091,1,1,Urban,Apartment,Manipur,Imphal,2376510
803,1,2,Urban,Apartment,West Bengal,Kolkata,5875530
689,1,1,Urban,Apartment,Uttarakhand,Dehradun,2665814
811,1,2,Semi-Urban,Apartment,Haryana,Karnal,1360900
1183,1,1,Urban,Apartment,Maharashtra,Nagpur,4227094
1590,2,2,Urban,Apartment,Madhya Pradesh,Indore,3978611
611,2,2,Urban,Apartment,Rajasthan,Jodhpur,2426949
569,1,1,Urban,Apartment,Goa,Panaji,1129638
570,1,1,Semi-Urban,Apartment,Andhra Pradesh,Guntur,1632122
633,2,2,Urban,Apartment,Chhattisgarh,Raipur,2909079
322,1,1,Urban,Villa,Chhattisgarh,Bhilai,1727381
944,1,1,Urban,Apartment,Karnataka,Hubli,1808247
1838,3,1,Semi-Urban,Apartment,Karnataka,Hubli,2707452
349,1,1,Urban,Apartment,Tripura,Agartala,1464433
696,2,1,Urban,Apartment,Telangana,Warangal,2917907
878,1,2,Urban,Apartment,Rajasthan,Jodhpur,3207107
2169,3,4,Urban,Apartment,Maharashtra,Thane,4575438
1062,2,2,Urban,Duplex,Chhattisgarh,Bhilai,4296590
2107,3,2,Urban,Apartment,Tamil Nadu,Coimbatore,11940998
481,1,1,Semi-Urban,Apartment,Rajasthan,Jodhpur,1543673
883,1,2,Urban,Apartment,Madhya Pradesh,Gwalior,3418565
580,1,2,Urban,Villa,Gujarat,Bhavnagar,2722368
1206,2,3,Urban,Apartment,West Bengal,Siliguri,4774278
456,1,1,Urban,Apartment,Lakshadweep,Kavaratti,1960430
1051,1,2,Urban,Apartment,Madhya Pradesh,Jabalpur,3547544
344,1,1,Urban,Apartment,Punjab,Ludhiana,1478362
423,1,1,Urban,Duplex,Gujarat,Bhavnagar,1508088
838,2,3,Urban,Apartment,Gujarat,Ahmedabad,3703128
487,1,2,Urban,Apartment,Punjab,Ludhiana,2054312
362,1,1,Urban,Apartment,Delhi,Karol Bagh,1536075
2180,5,4,Urban,Apartment,Haryana,Faridabad,8878040
320,1,2,Urban,Apartment,Maharashtra,Kalyan,583140
776,2,3,Urban,Villa,Kerala,Kollam,4061713
488,1,1,Urban,Apartment,Rajasthan,Jaipur,1915215
3691,3,2,Urban,Villa,Uttarakhand,Haldwani,16281022
714,1,2,Urban,Apartment,Uttarakhand,Dehradun,3146603
1450,3,4,Urban,Villa,Odisha,Cuttack,5982687
572,1,1,Urban,Apartment,Madhya Pradesh,Bhopal,1040867
357,1,1,Urban,Apartment,Telangana,Warangal,1736818
1489,3,4,Urban,Apartment,Haryana,Faridabad,5438541
609,1,2,Semi-Urban,Apartment,Gujarat,Surat,1177357
449,1,1,Urban,Apartment,Uttar Pradesh,Agra,810121
723,2,3,Urban,Apartment,Uttarakhand,Haldwani,3509322
583,1,1,Urban,Apartment,Bihar,Muzaffarpur,2878951
355,1,1,Semi-Urban,Apartment,West Bengal,Asansol,1171613
813,2,1,Urban,Villa,Uttar Pradesh,Ghaziabad,4603565
1116,2,2,Urban,Apartment,Chhattisgarh,Bilaspur,3629436
374,1,2,Urban,Duplex,Karnataka,Mysuru,763693
1035,1,1,Urban,Villa,Madhya Pradesh,Jabalpur,5839782
1571,3,3,Urban,Apartment,Gujarat,Vadodara,5744785
605,2,1,Urban,Apartment,Jammu & Kashmir,Jammu,1318488
483,1,2,Semi-Urban,Apartment,Assam,Silchar,1663814
1535,2,1,Urban,Apartment,Maharashtra,Aurangabad,5765499
1052,1,1,Urban,Villa,Goa,Panaji,3096473
662,2,2,Urban,Apartment,Delhi,Saket,1201296
654,1,1,Semi-Urban,Apartment,Haryana,Gurgaon,2441975
572,1,1,Semi-Urban,Apartment,Delhi,Delhi,7685322
523,1,2,Urban,Apartment,Jharkhand,Dhanbad,2004312
374,1,1,Urban,Apartment,Maharashtra,Thane,727273
1669,3,1,Urban,Apartment,Karnataka,Mysuru,3625315
2814,3,4,Urban,Apartment,Telangana,Warangal,14485255
357,1,2,Urban,Apartment,Puducherry,Puducherry,1519106
833,1,2,Urban,Apartment,Jharkhand,Dhanbad,3161083
389,1,2,Semi-Urban,Apartment,Uttar Pradesh,Agra,528173
1664,2,3,Urban,Villa,Chhattisgarh,Bhilai,9653469
764,2,1,Urban,Villa,Goa,Margao,1585505
1427,3,3,Urban,Villa,Bihar,Gaya,4530484
839,1,1,Urban,Apartment,Arunachal Pradesh,Itanagar,3061276
503,1,1,Urban,Villa,Delhi,Karol Bagh,1924771
1725,3,3,Urban,Villa,Tripura,Agartala,8685899
514,1,1,Urban,Villa,Uttarakhand,Dehradun,2057672
1699,3,1,Urban,Villa,Karnataka,Bengaluru,16349223
1606,2,2,Urban,Villa,Uttar Pradesh,Kanpur,9209067
1487,3,2,Urban,Apartment,Kerala,Kochi,3312185
2403,4,4,Urban,Apartment,Andhra Pradesh,Vijayawada,7835416
2899,5,3,Urban,Villa,Haryana,Karnal,8404532
443,1,1,Urban,Apartment,Uttar Pradesh,Agra,789392
849,2,3,Urban,Apartment,Karnataka,Hubli,1875195
983,1,1,Urban,Apartment,Punjab,Amritsar,3935285
1211,3,3,Urban,Villa,Delhi,Saket,3308382
421,1,1,Urban,Apartment,Andhra Pradesh,Guntur,1841240
858,1,2,Urban,Villa,Jharkhand,Ranchi,2281271
709,1,2,Urban,Villa,Maharashtra,Mumbai,19975604
693,1,1,Urban,Villa,Karnataka,Dharwad,3560348
655,1,2,Semi-Urban,Apartment,Tamil Nadu,Coimbatore,2012222
2160,3,1,Urban,Apartment,West Bengal,Kolkata,11782589
525,1,2,Urban,Apartment,Karnataka,Dharwad,2068596
351,1,1,Urban,Apartment,Jharkhand,Ranchi,869538
1265,3,4,Urban,Apartment,Tamil Nadu,Chennai,12305035
916,1,2,Urban,Apartment,Delhi,Karol Bagh,4085017
503,1,2,Semi-Urban,Apartment,Madhya Pradesh,Bhopal,829802
789,2,1,Urban,Apartment,Delhi,Delhi,10559677
1054,1,1,Urban,Duplex,Haryana,Karnal,2925559
1746,3,4,Urban,Apartment,Punjab,Chandigarh,7506583
1862,3,4,Urban,Apartment,Assam,Silchar,9025206
873,2,2,Urban,Apartment,Maharashtra,Nagpur,3363032
516,1,1,Urban,Apartment,Telangana,Hyderabad,5321264
1940,2,2,Urban,Apartment,Gujarat,Bhavnagar,8117840
1465,3,1,Urban,Apartment,Rajasthan,Jodhpur,6070502
367,1,1,Urban,Apartment,Maharashtra,Kolhapur,1296553
497,1,1,Semi-Urban,Apartment,Chhattisgarh,Raipur,1526965
1551,3,3,Urban,Apartment,Tripura,Agartala,6359136
869,2,2,Urban,Apartment,Karnataka,Dharwad,3262031
697,2,2,Semi-Urban,Apartment,Maharashtra,Nashik,1055640
811,2,3,Urban,Villa,Chhattisgarh,Bhilai,4065573
1541,3,4,Urban,Apartment,Telangana,Nizamabad,5230487
2024,5,4,Urban,Apartment,Maharashtra,Nagpur,8452640
1194,2,1,Urban,Apartment,Kerala,Kochi,3170005
2521,3,2,Urban,Apartment,Chhattisgarh,Raipur,9176003
610,2,3,Urban,Apartment,Meghalaya,Shillong,2214787
1429,2,1,Urban,Apartment,West Bengal,Kolkata,9609351
905,1,1,Urban,Apartment,Madhya Pradesh,Indore,1934174
