Area_sqft,Bedrooms,Bathroom,Location_Type,House_Type,State,City,Price
2266,1,1,Rural,Duplex,Bihar,Patna,6817853
2167,4,1,Semiurban,Apartment,West Bengal,Siliguri,6606992
4538,2,5,Rural,Villa,Madhya Pradesh,Indore,12885522
4888,4,2,Rural,Duplex,Rajasthan,Udaipur,13894871
711,1,5,Urban,Apartment,Karnataka,Mangalore,3059772
2222,5,4,Urban,Duplex,Rajasthan,Udaipur,7589357
3511,4,1,Semiurban,Apartment,Bihar,Bhagalpur,9989303
3711,2,4,Rural,Villa,Rajasthan,Jodhpur,10704600
965,2,1,Semiurban,Duplex,Madhya Pradesh,Gwalior,3532910
1509,5,3,Rural,Duplex,Gujarat,Surat,5891780
4494,1,5,Semiurban,Duplex,Karnataka,Mangalore,12763034
2207,1,2,Rural,Duplex,Madhya Pradesh,Indore,6812831
3135,2,3,Semiurban,Duplex,Bihar,Patna,9356893
3131,5,1,Urban,Apartment,Karnataka,Hubli,9290576
740,4,3,Rural,Villa,Madhya Pradesh,Gwalior,3566428
2616,2,1,Semiurban,Villa,Gujarat,Surat,7415424
2323,4,5,Rural,Villa,West Bengal,Durgapur,7792347
2745,5,3,Urban,Duplex,West Bengal,Siliguri,8637342
2259,3,1,Semiurban,Apartment,Tamil Nadu,Salem,6837229
1378,3,1,Urban,Apartment,Karnataka,Mangalore,4390952
3465,5,2,Urban,Duplex,Maharashtra,Mumbai,10514971
3646,2,2,Rural,Apartment,West Bengal,Durgapur,10181990
3706,1,4,Semiurban,Duplex,Rajasthan,Kota,10702730
3425,5,4,Urban,Duplex,Maharashtra,Pune,10562356
848,4,4,Rural,Villa,Gujarat,Rajkot,4161195
3724,5,1,Urban,Duplex,Maharashtra,Nagpur,10852419
4601,5,4,Semiurban,Apartment,Uttar Pradesh,Varanasi,13437998
2570,4,3,Semiurban,Apartment,Karnataka,Hubli,7930783
1986,1,4,Semiurban,Duplex,Bihar,Muzaffarpur,6434444
3237,4,4,Semiurban,Apartment,Gujarat,Vadodara,9744613
2294,5,3,Semiurban,Duplex,West Bengal,Kolkata,7811142
1384,1,4,Semiurban,Apartment,Gujarat,Surat,4517941
2220,1,4,Urban,Villa,Madhya Pradesh,Indore,6720791
2247,5,1,Semiurban,Apartment,Uttar Pradesh,Lucknow,7031845
2752,2,2,Rural,Duplex,Karnataka,Bengaluru,8145217
3076,1,3,Semiurban,Duplex,Gujarat,Rajkot,8970421
1526,1,2,Rural,Villa,Madhya Pradesh,Gwalior,4824810
886,5,4,Rural,Apartment,Uttar Pradesh,Agra,4208198
671,1,4,Urban,Duplex,Rajasthan,Udaipur,3041965
2839,1,3,Semiurban,Apartment,West Bengal,Siliguri,7995249
2228,5,3,Urban,Duplex,West Bengal,Howrah,7438465
2329,5,5,Urban,Villa,Maharashtra,Mumbai,8003270
3507,1,3,Semiurban,Villa,Maharashtra,Nagpur,9990657
1586,4,1,Urban,Apartment,Gujarat,Rajkot,5117845
815,4,2,Urban,Villa,Uttar Pradesh,Lucknow,3454033
4391,1,2,Rural,Villa,Karnataka,Mysuru,12145650
1004,5,2,Urban,Duplex,Rajasthan,Kota,4368695
4620,2,4,Rural,Villa,Rajasthan,Udaipur,13106978
3259,2,2,Rural,Villa,Tamil Nadu,Madurai,9533418
2950,2,3,Semiurban,Villa,Bihar,Gaya,8809595
854,4,5,Urban,Apartment,Uttar Pradesh,Agra,3885939
2603,5,5,Urban,Villa,Bihar,Bhagalpur,8584874
4203,1,1,Rural,Villa,Gujarat,Vadodara,11357397
801,1,5,Semiurban,Apartment,Gujarat,Vadodara,3346325
4074,4,1,Rural,Duplex,Karnataka,Mysuru,11847317
4519,2,3,Urban,Villa,Madhya Pradesh,Bhopal,12612004
4942,3,1,Semiurban,Villa,Maharashtra,Nashik,13440739
4451,1,2,Rural,Apartment,Maharashtra,Mumbai,11913977
1283,4,2,Semiurban,Apartment,Karnataka,Hubli,4574008
4357,4,4,Urban,Villa,Tamil Nadu,Madurai,12499320
2275,5,1,Rural,Duplex,Madhya Pradesh,Jabalpur,7413550
3992,5,1,Semiurban,Duplex,Karnataka,Bengaluru,11619610
2394,1,1,Semiurban,Duplex,Bihar,Gaya,6804933
3546,4,4,Urban,Duplex,Rajasthan,Udaipur,10784000
4999,1,2,Semiurban,Apartment,Rajasthan,Udaipur,13459251
3056,3,1,Urban,Duplex,Rajasthan,Kota,8788305
1417,4,4,Urban,Duplex,Maharashtra,Pune,5495790
2930,2,2,Semiurban,Villa,Rajasthan,Kota,8385319
1277,4,3,Semiurban,Duplex,Uttar Pradesh,Lucknow,4869486
1756,2,1,Semiurban,Villa,Bihar,Patna,5283428
2461,2,1,Rural,Villa,Bihar,Muzaffarpur,7103368
4495,4,2,Urban,Apartment,Madhya Pradesh,Jabalpur,12509666
3747,1,3,Semiurban,Duplex,Tamil Nadu,Salem,10535369
4627,4,4,Rural,Villa,Tamil Nadu,Chennai,13499495
1280,5,3,Rural,Apartment,Maharashtra,Nashik,5162399
1929,3,5,Rural,Villa,Rajasthan,Kota,6815082
714,3,4,Rural,Apartment,Maharashtra,Nashik,3279611
4958,2,3,Semiurban,Villa,Tamil Nadu,Coimbatore,13634685
4191,4,2,Urban,Duplex,Bihar,Patna,11920691
4087,1,5,Urban,Villa,Gujarat,Surat,11385485
3874,3,4,Urban,Duplex,Bihar,Gaya,11239029
963,4,4,Urban,Apartment,West Bengal,Durgapur,3986965
3207,3,4,Urban,Villa,Karnataka,Mysuru,9522459
976,3,4,Urban,Villa,Madhya Pradesh,Jabalpur,3910037
3763,2,1,Semiurban,Duplex,Karnataka,Mysuru,10584587
4663,1,2,Urban,Villa,Madhya Pradesh,Jabalpur,12524176
3743,3,1,Semiurban,Apartment,Uttar Pradesh,Lucknow,10420264
4691,2,5,Semiurban,Apartment,Uttar Pradesh,Varanasi,13265325
1743,3,5,Semiurban,Villa,Rajasthan,Udaipur,6263687
4692,4,2,Semiurban,Duplex,Delhi (UT),Delhi,13417464
2895,2,4,Semiurban,Apartment,Delhi (UT),Delhi,8704744
3959,1,4,Urban,Villa,Gujarat,Vadodara,10955708
4608,1,5,Rural,Duplex,West Bengal,Siliguri,13041185
3170,1,2,Semiurban,Duplex,Karnataka,Mysuru,9069854
2902,5,5,Rural,Apartment,Uttar Pradesh,Agra,9512683
2017,5,2,Rural,Duplex,Karnataka,Mangalore,7021190
790,3,5,Semiurban,Villa,Tamil Nadu,Madurai,3734302
2323,3,2,Semiurban,Duplex,West Bengal,Kolkata,7317914
4348,4,5,Rural,Duplex,Madhya Pradesh,Indore,12965043
4466,5,5,Semiurban,Duplex,West Bengal,Kolkata,13517296
2012,2,1,Rural,Villa,Gujarat,Vadodara,6003993
2689,2,3,Urban,Villa,Maharashtra,Aurangabad,8058175
2553,3,3,Urban,Duplex,Madhya Pradesh,Indore,7938498
3850,1,3,Rural,Villa,Rajasthan,Jaipur,10766852
4574,1,3,Urban,Apartment,Rajasthan,Jaipur,12454346
2826,5,3,Urban,Villa,Madhya Pradesh,Bhopal,8949710
3695,1,2,Semiurban,Villa,Maharashtra,Nashik,10292555
1370,5,3,Semiurban,Apartment,West Bengal,Howrah,5091570
3507,2,3,Urban,Duplex,Maharashtra,Pune,10078210
4075,4,5,Urban,Villa,Bihar,Patna,12190461
1398,3,3,Urban,Villa,Madhya Pradesh,Gwalior,4980207
2470,5,4,Rural,Villa,Karnataka,Bengaluru,8339170
2462,5,1,Semiurban,Villa,Madhya Pradesh,Jabalpur,7661155
2271,2,2,Semiurban,Apartment,Karnataka,Mysuru,6599450
3535,3,4,Semiurban,Villa,Bihar,Gaya,10591631
1453,3,5,Rural,Apartment,Gujarat,Ahmedabad,5305945
4615,1,5,Urban,Duplex,Rajasthan,Jaipur,13027987
2173,2,2,Urban,Duplex,Karnataka,Hubli,6475088
1162,1,3,Urban,Duplex,Karnataka,Mysuru,4028948
4015,4,5,Rural,Apartment,Madhya Pradesh,Jabalpur,11917314
4791,5,1,Rural,Villa,Tamil Nadu,Salem,13739639
4525,3,1,Semiurban,Villa,West Bengal,Kolkata,12609377
816,4,5,Semiurban,Duplex,Karnataka,Mysuru,4187485
3817,3,3,Urban,Duplex,Uttar Pradesh,Kanpur,11089344
3781,1,4,Urban,Apartment,Rajasthan,Jaipur,10547593
1424,1,3,Urban,Apartment,West Bengal,Siliguri,4412210
2866,3,1,Rural,Villa,Bihar,Muzaffarpur,8328938
4878,1,2,Rural,Villa,Tamil Nadu,Coimbatore,13362342
4189,5,2,Urban,Villa,Tamil Nadu,Salem,11968276
4940,5,2,Urban,Apartment,Tamil Nadu,Coimbatore,13734727
3178,5,5,Rural,Duplex,Maharashtra,Aurangabad,10450680
4916,2,2,Semiurban,Villa,Delhi (UT),Delhi,13346877
777,5,1,Rural,Villa,Maharashtra,Mumbai,3490857
4547,2,2,Semiurban,Apartment,Karnataka,Mangalore,12357410
2720,1,1,Semiurban,Duplex,Gujarat,Rajkot,7726383
1200,4,3,Semiurban,Villa,Bihar,Patna,4808851
1972,3,5,Urban,Duplex,West Bengal,Kolkata,6856033
2716,1,4,Urban,Duplex,Maharashtra,Nagpur,8171907
671,5,2,Semiurban,Villa,Maharashtra,Aurangabad,3312777
921,1,4,Urban,Apartment,Delhi (UT),Delhi,3404367
2285,2,3,Rural,Apartment,Madhya Pradesh,Indore,6872646
3202,5,5,Rural,Duplex,Delhi (UT),Delhi,10506502
2837,5,3,Semiurban,Villa,Gujarat,Ahmedabad,8911520
4840,2,1,Urban,Villa,Delhi (UT),Delhi,13122435
602,5,5,Semiurban,Apartment,Uttar Pradesh,Varanasi,3435946
3478,5,5,Urban,Duplex,Rajasthan,Kota,10846582
3110,4,2,Rural,Villa,West Bengal,Durgapur,9438121
1333,5,1,Semiurban,Duplex,Delhi (UT),Delhi,5036583
4979,3,2,Rural,Villa,Tamil Nadu,Madurai,13956586
4129,4,2,Rural,Duplex,Madhya Pradesh,Gwalior,12072026
4617,4,1,Semiurban,Duplex,West Bengal,Siliguri,13006655
2739,5,3,Urban,Apartment,Tamil Nadu,Coimbatore,8421014
3694,4,4,Rural,Apartment,West Bengal,Durgapur,11035227
1538,1,3,Urban,Duplex,Tamil Nadu,Coimbatore,5088105
1549,5,5,Urban,Villa,Gujarat,Surat,6069936
1727,5,5,Semiurban,Villa,Delhi (UT),Delhi,6566915
2409,5,5,Semiurban,Duplex,West Bengal,Durgapur,8369657
3791,1,3,Rural,Apartment,Karnataka,Bengaluru,10676858
4944,2,2,Semiurban,Apartment,Maharashtra,Nashik,13525352
1411,5,1,Rural,Apartment,Uttar Pradesh,Agra,5143267
3467,1,5,Semiurban,Duplex,Madhya Pradesh,Bhopal,10324077
2579,4,4,Urban,Duplex,Bihar,Muzaffarpur,8369553
3388,3,4,Semiurban,Duplex,Madhya Pradesh,Bhopal,10093274
3328,5,4,Semiurban,Apartment,Bihar,Gaya,10120019
2640,1,3,Rural,Duplex,Rajasthan,Jaipur,7964700
1179,2,4,Semiurban,Duplex,Madhya Pradesh,Gwalior,4614215
943,3,2,Urban,Apartment,Karnataka,Hubli,3449393
4639,4,3,Rural,Duplex,West Bengal,Kolkata,13443388
3011,1,5,Rural,Duplex,Tamil Nadu,Salem,9109295
1635,1,2,Semiurban,Villa,Uttar Pradesh,Noida,4969037
3337,5,5,Semiurban,Apartment,Tamil Nadu,Coimbatore,10539282
4811,3,3,Semiurban,Apartment,West Bengal,Howrah,13431204
1777,3,2,Urban,Villa,Tamil Nadu,Chennai,5697376
2312,3,5,Rural,Apartment,Madhya Pradesh,Gwalior,7569865
1495,1,5,Semiurban,Apartment,Bihar,Patna,5139092
2722,5,1,Urban,Apartment,Gujarat,Ahmedabad,8188486
2987,4,2,Urban,Duplex,West Bengal,Kolkata,8966433
3765,5,5,Urban,Duplex,Rajasthan,Udaipur,11481206
3507,5,4,Semiurban,Villa,Madhya Pradesh,Gwalior,10947826
1962,5,2,Urban,Apartment,Rajasthan,Udaipur,6479357
4930,5,1,Urban,Duplex,Uttar Pradesh,Lucknow,13841826
2855,4,2,Rural,Duplex,Madhya Pradesh,Gwalior,8820777
4403,1,2,Semiurban,Villa,Uttar Pradesh,Lucknow,11967625
3635,5,4,Rural,Apartment,Uttar Pradesh,Agra,11076375
2406,1,3,Urban,Duplex,West Bengal,Kolkata,7238629
3529,5,2,Semiurban,Apartment,Delhi (UT),Delhi,10365423
2989,2,2,Semiurban,Duplex,Delhi (UT),Delhi,8637195
4067,3,2,Rural,Villa,Karnataka,Hubli,11517483
3150,5,4,Rural,Apartment,Delhi (UT),Delhi,9922068
4420,2,3,Semiurban,Duplex,Rajasthan,Kota,12587433
994,1,2,Urban,Villa,Karnataka,Mysuru,3336250
4061,3,1,Rural,Apartment,Maharashtra,Nashik,11462715
2459,5,4,Semiurban,Villa,Maharashtra,Pune,8093150
4934,2,5,Semiurban,Apartment,Maharashtra,Nagpur,13664693
1189,2,4,Rural,Duplex,Gujarat,Vadodara,4735494
1911,4,1,Urban,Apartment,Tamil Nadu,Chennai,5900828
2261,3,4,Urban,Apartment,Delhi (UT),Delhi,7049092
2132,3,3,Rural,Apartment,Rajasthan,Jodhpur,6778590
1197,5,1,Rural,Apartment,Gujarat,Rajkot,4695132
4705,1,1,Rural,Duplex,Delhi (UT),Delhi,12908056
691,2,1,Urban,Apartment,Rajasthan,Jaipur,2435002
4905,3,5,Semiurban,Apartment,Karnataka,Mysuru,14000823
2905,4,2,Rural,Duplex,Gujarat,Vadodara,9015627
4738,1,5,Urban,Apartment,Tamil Nadu,Salem,13029628
4053,3,5,Rural,Apartment,Gujarat,Vadodara,12004973
2332,3,4,Rural,Apartment,Rajasthan,Jaipur,7335979
4716,5,2,Urban,Apartment,Uttar Pradesh,Noida,13375774
740,5,5,Rural,Duplex,Madhya Pradesh,Bhopal,4334350
1130,5,4,Rural,Duplex,Rajasthan,Jodhpur,5172587
4246,4,5,Semiurban,Villa,Tamil Nadu,Chennai,12505814
4116,1,3,Urban,Duplex,Gujarat,Ahmedabad,11450194
4560,2,4,Rural,Apartment,West Bengal,Siliguri,12759194
4242,1,4,Urban,Villa,Karnataka,Hubli,11616313
870,3,1,Rural,Villa,Bihar,Bhagalpur,3608667
1363,2,2,Semiurban,Apartment,Uttar Pradesh,Noida,4452155
4734,1,3,Semiurban,Apartment,Bihar,Patna,12793943
4364,4,4,Urban,Apartment,Gujarat,Rajkot,12594024
1293,5,4,Urban,Apartment,Uttar Pradesh,Lucknow,4983579
4589,4,2,Semiurban,Duplex,Gujarat,Rajkot,13153473
4296,3,4,Semiurban,Apartment,Gujarat,Vadodara,12136195
1644,5,3,Semiurban,Villa,Karnataka,Bengaluru,6015160
3215,5,1,Semiurban,Villa,Maharashtra,Nagpur,9618754
3980,2,1,Urban,Apartment,Rajasthan,Jodhpur,10768340
1323,3,4,Semiurban,Villa,Karnataka,Bengaluru,4917289
1149,1,1,Semiurban,Duplex,Gujarat,Ahmedabad,3767284
3764,5,1,Semiurban,Duplex,Madhya Pradesh,Gwalior,11130470
1507,3,2,Semiurban,Apartment,Tamil Nadu,Chennai,4952308
2214,2,4,Rural,Apartment,Delhi (UT),Delhi,7023985
4080,2,4,Urban,Apartment,Rajasthan,Udaipur,11480812
1265,2,4,Rural,Duplex,Tamil Nadu,Salem,4872054
3716,3,3,Semiurban,Villa,West Bengal,Kolkata,10923261
3564,5,2,Rural,Apartment,West Bengal,Siliguri,10591418
1762,2,5,Semiurban,Apartment,Madhya Pradesh,Indore,5904414
4913,2,5,Urban,Duplex,Uttar Pradesh,Varanasi,14022515
2712,5,1,Rural,Duplex,Tamil Nadu,Salem,8464407
4849,5,1,Rural,Duplex,Rajasthan,Udaipur,13977316
1416,4,2,Semiurban,Villa,Maharashtra,Mumbai,5149915
671,5,1,Rural,Villa,Gujarat,Ahmedabad,3293596
3389,2,4,Semiurban,Apartment,Karnataka,Bengaluru,9718936
2633,3,1,Urban,Villa,Karnataka,Mysuru,7568274
2847,1,4,Rural,Apartment,Tamil Nadu,Madurai,8258191
883,3,3,Semiurban,Duplex,Rajasthan,Kota,3824213
4965,2,4,Urban,Villa,Gujarat,Vadodara,13802917
1740,4,3,Urban,Villa,Delhi (UT),Delhi,5929115
3749,3,1,Rural,Duplex,Gujarat,Rajkot,10897230
690,1,3,Urban,Apartment,Karnataka,Bengaluru,2703619
4702,4,1,Rural,Villa,Uttar Pradesh,Varanasi,13322561
2725,2,3,Rural,Villa,Gujarat,Surat,8183318
3781,1,2,Semiurban,Duplex,Madhya Pradesh,Gwalior,10392295
1339,1,3,Rural,Apartment,Karnataka,Bengaluru,4500950
720,2,4,Semiurban,Villa,Gujarat,Ahmedabad,3357932
3867,5,1,Rural,Duplex,Gujarat,Rajkot,11597023
4954,2,2,Rural,Apartment,West Bengal,Howrah,13575110
4840,4,2,Urban,Villa,Bihar,Patna,13666499
1130,4,5,Rural,Apartment,Madhya Pradesh,Gwalior,4749240
1650,2,4,Urban,Apartment,Tamil Nadu,Chennai,5490099
4365,2,3,Urban,Apartment,Gujarat,Rajkot,11850911
3581,3,3,Semiurban,Villa,Karnataka,Mysuru,10343790
3271,2,2,Rural,Villa,Maharashtra,Pune,9483755
4981,2,4,Rural,Villa,Uttar Pradesh,Lucknow,14030424
4510,2,2,Urban,Villa,Madhya Pradesh,Bhopal,12256719
817,2,3,Rural,Apartment,West Bengal,Durgapur,3347191
2478,1,2,Rural,Villa,Karnataka,Mangalore,7269134
4594,2,1,Semiurban,Villa,Rajasthan,Kota,12469195
3147,1,3,Semiurban,Duplex,Delhi (UT),Delhi,9152025
1679,5,5,Semiurban,Villa,Uttar Pradesh,Agra,6420956
4685,2,1,Rural,Villa,Bihar,Patna,12904140
1737,3,4,Urban,Apartment,Bihar,Patna,5819692
2679,3,3,Semiurban,Apartment,Gujarat,Surat,8155593
976,4,4,Urban,Apartment,Rajasthan,Jodhpur,4097211
2676,3,2,Rural,Villa,Uttar Pradesh,Noida,7994115
4091,5,1,Semiurban,Apartment,Madhya Pradesh,Bhopal,11834706
4574,4,1,Urban,Villa,Karnataka,Mysuru,12654926
3312,4,3,Rural,Apartment,Uttar Pradesh,Noida,9918799
4011,5,2,Rural,Duplex,Karnataka,Hubli,11983412
3421,4,5,Semiurban,Apartment,Gujarat,Surat,10294825
3965,4,4,Urban,Duplex,Tamil Nadu,Salem,11637398
2140,1,1,Rural,Apartment,Karnataka,Hubli,6123992
4634,5,2,Rural,Duplex,Bihar,Patna,13481342
1803,1,3,Semiurban,Apartment,Delhi (UT),Delhi,5332056
3228,4,4,Semiurban,Apartment,Uttar Pradesh,Varanasi,9778020
909,1,2,Semiurban,Duplex,Bihar,Bhagalpur,3342333
3196,3,4,Semiurban,Duplex,Gujarat,Ahmedabad,9806573
3764,4,5,Urban,Apartment,Tamil Nadu,Salem,11182486
1450,3,1,Urban,Duplex,Maharashtra,Mumbai,4778984
4925,5,4,Urban,Duplex,Karnataka,Hubli,14368979
4327,1,4,Rural,Duplex,Gujarat,Rajkot,12336168
620,3,2,Rural,Apartment,Delhi (UT),Delhi,2789282
1820,1,1,Urban,Apartment,Uttar Pradesh,Lucknow,5154476
4159,2,5,Semiurban,Duplex,Delhi (UT),Delhi,12146730
4711,4,2,Rural,Duplex,Uttar Pradesh,Agra,13462461
4487,4,1,Urban,Villa,Rajasthan,Udaipur,12611567
4560,1,4,Rural,Apartment,Madhya Pradesh,Jabalpur,12529762
3112,5,2,Semiurban,Apartment,Rajasthan,Jaipur,9424128
